"Web Service","Service Desc.","Last Changed Date","Contact","Methods","Dimensions"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov"," findStates ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov"," findCountries","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov"," findEpcs","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findMilitaryPostOfficeTypes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findMilitaryPostalTypes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findSsnVerificationTypes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findCauseOfDeathTypes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findIntakeSites","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findDiagnosticCodes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findPcanReasonCodes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findPclrReasonCodes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findDiaryReasonCodes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov"," findSsaInquiryReasonCodes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov"," findStationAddress","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findFutureReasons","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findSalutations","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findSuffixes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findGulfWarRegistryPermits","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findBranchOfServiceTypes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findPowerOfAttorneys","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findCharacterOfServiceTypes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findSeparationReasonCodes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov"," findPayGrades","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findGender","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findInsurancePrefixs","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findInsuranceFolderTypes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov"," findInsurancePolicyPrefixs","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findFolderTypes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findNoFolderEstablishedReasons","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findAllStations","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findRegionalOffices","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findNARAs","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findStations","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"ShareStandardDataService","These services are intended to return data for combo/list boxes. You will get the code needed for updates and the text to display","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findProgramTypes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"StandardDataWebService","N/A","11-01-11","Cory Easley
512-326-6316
cory.easley@va.gov","findBenefitClaimTypes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"StandardDataWebService","N/A","11-01-11","Cory Easley
512-326-6316
cory.easley@va.gov","findBenefitClaimTypeIncrements","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"StandardDataWebService","N/A","11-01-11","Cory Easley
512-326-6316
cory.easley@va.gov","findBenefitClaimTypeIncrement","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"StandardDataWebService","N/A","11-01-11","Cory Easley
512-326-6316
cory.easley@va.gov","findFlashes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"StandardDataWebService","N/A","11-01-11","Cory Easley
512-326-6316
cory.easley@va.gov","findSpecialIssues ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"StandardDataWebService","N/A","11-01-11","Cory Easley
512-326-6316
cory.easley@va.gov","findAllBenefitClaimTypes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"StandardDataWebService","N/A","11-01-11","Cory Easley
512-326-6316
cory.easley@va.gov","findBenefitClaimLifeCycleStatuses","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"StandardDataWebService","N/A","11-01-11","Cory Easley
512-326-6316
cory.easley@va.gov","findEndProductTypes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"StandardDataWebService","N/A","11-01-11","Cory Easley
512-326-6316
cory.easley@va.gov","findPayeeTypes","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"StandardDataWebService","N/A","11-01-11","Cory Easley
512-326-6316
cory.easley@va.gov","findRegionalOffices","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"StandardDataWebService","N/A","11-01-11","Cory Easley
512-326-6316
cory.easley@va.gov","findAllStations","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"StandardDataWebService","N/A","11-01-11","Cory Easley
512-326-6316
cory.easley@va.gov","findAllStates","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"StandardDataWebService","N/A","11-01-11","Cory Easley
512-326-6316
cory.easley@va.gov"," findAllUSStates","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"StandardDataWebService","N/A","11-01-11","Cory Easley
512-326-6316
cory.easley@va.gov","findAllForeignStates ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"VeteranWebService","N/A","10-27-11","Cory Easley
512-326-6316
cory.easley@va.gov","findVeteranByFileNumber ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"VetRecordService","This service gets Veteran information from corporate and Birls.","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findVeteran","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"VetRecordService","This service gets Veteran information from corporate and Birls.","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findVeteranByPtcpntId","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"VetRecordService","This service gets Veteran information from corporate and Birls.","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findVeteranByFileNumber","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"VetRecordService","This service gets Veteran information from corporate and Birls.","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findBirlsRecord","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"VetRecordService","This service gets Veteran information from corporate and Birls.","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findBirlsRecordByFileNumber","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"VetRecordService","This service gets Veteran information from corporate and Birls.","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findCorporateRecord","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"VetRecordService","This service gets Veteran information from corporate and Birls.","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findCorporateRecordByFileNumber","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"VetRecordService","This service gets Veteran information from corporate and Birls.","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","syncCorporateBirls","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"VetRecordService","This service gets Veteran information from corporate and Birls.","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findIndex ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"VhaWebService","N/A","10-13-11","Cory Easley
512-326-6316
cory.easley@va.gov"," findAllVhaIntrfcPtcpnt","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"VhaWebService","N/A","10-13-11","Cory Easley
512-326-6316
cory.easley@va.gov","deleteAllVhaIntrfcPtcpnt ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"VhaWebService","N/A","10-13-11","Cory Easley
512-326-6316
cory.easley@va.gov","deleteVhaIntrfcPtcpntByPtcpntId ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
